attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,categories,latitude,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.Payment Types.mastercard,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,attributes.Payment Types.amex,name,hours.Monday.open,attributes.Waiter Service,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Good For.dinner,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Good For Kids,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Payment Types.cash_only,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Payment Types.discover,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Payment Types.visa,type,attributes.Caters,attributes.Ambience.intimate,attributes.Music.playlist,attributes.Good For.latenight,attributes.Price Range,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.By Appointment Only,attributes.Dietary Restrictions.kosher,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Hair Types Specialized In.perms,attributes.Music.jukebox,attributes.Ambience.upscale
NA,NA,NA,8:00,NA,NA,NA,NA,8:00,"[u'Doctors', u'Health & Medical']",33.499313,NA,NA,NA,NA,NA,vcNAWiLM4dR7D2nwwJ7nCA,NA,NA,8:00,NA,NA,"Eric Goldberg, MD",8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,AZ,NA,17:00,NA,NA,NA,NA,"4840 E Indian School Rd
Ste 101
Phoenix, AZ 85018",17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:00,NA,TRUE,Phoenix,NA,NA,NA,3.5,NA,business,NA,NA,NA,NA,NA,NA,-111.983758,17:00,NA,17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,8:00,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
NA,NA,TRUE,NA,NA,NA,NA,NA,NA,[u'Nightlife'],40.350519,FALSE,NA,NA,NA,NA,UsFtqoBl7naz8AVUBZMjQQ,NA,NA,NA,NA,NA,Clancy's Pub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,PA,TRUE,NA,NA,NA,NA,NA,"202 McClure St
Dravosburg, PA 15034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Dravosburg,NA,NA,NA,3.5,NA,business,NA,NA,NA,NA,1,NA,-79.88693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,[],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Active Life', u'Mini Golf', u'Golf']",40.3568962,NA,NA,NA,NA,NA,cE27W9VPgO88Qxe4ol6y_g,NA,NA,NA,NA,NA,Cool Springs Golf Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,PA,NA,NA,NA,NA,NA,NA,"1530 Hamilton Rd
Bethel Park, PA 15234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Bethel Park,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,NA,NA,-80.01591,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
NA,NA,NA,10:00,NA,NA,NA,NA,10:00,"[u'Shopping', u'Home Services', u'Internet Service Providers', u'Mobile Phones', u'Professional Services', u'Electronics']",40.35762,NA,NA,NA,NA,NA,HZdLhv6COCleJMo7nPl-RA,NA,NA,10:00,NA,NA,Verizon Wireless,10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,PA,NA,21:00,NA,NA,NA,NA,"301 S Hills Vlg
Pittsburgh, PA 15241",21:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,21:00,NA,TRUE,Pittsburgh,NA,NA,NA,3.5,NA,business,NA,NA,NA,NA,NA,NA,-80.05998,21:00,NA,21:00,21:00,NA,NA,11:00,NA,NA,NA,NA,18:00,NA,NA,NA,NA,NA,NA,10:00,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
FALSE,NA,FALSE,10:00,NA,NA,NA,NA,10:00,"[u'Bars', u'American (New)', u'Nightlife', u'Lounges', u'Restaurants']",40.408735,FALSE,full_bar,FALSE,NA,FALSE,mVHrayjG3uZ_RLHkLj-AMg,FALSE,NA,10:00,FALSE,NA,Emil's Lounge,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,11,NA,PA,TRUE,20:00,FALSE,NA,FALSE,TRUE,"414 Hawkins Ave
Braddock, PA 15104",19:00,NA,NA,FALSE,NA,NA,FALSE,10:00,NA,FALSE,FALSE,19:00,no,TRUE,Braddock,NA,NA,NA,4.5,NA,business,TRUE,FALSE,NA,FALSE,1,FALSE,-79.8663507,NA,NA,19:00,16:00,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,10:00,average,no,casual,NA,TRUE,[],NA,FALSE,NA,NA,FALSE
FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",40.415517,TRUE,full_bar,FALSE,NA,TRUE,KayYbHCt-RkbGcPdGOThNg,FALSE,NA,NA,FALSE,NA,Alexion's Bar & Grill,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,15,NA,PA,TRUE,NA,FALSE,NA,FALSE,TRUE,"141 Hawthorne St
Greentree
Carnegie, PA 15106",NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,free,TRUE,Carnegie,NA,NA,NA,4,NA,business,FALSE,FALSE,NA,FALSE,1,FALSE,-80.067534,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,loud,outdoor,casual,NA,TRUE,[u'Greentree'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Auto Repair', u'Automotive']",40.394588,NA,NA,NA,NA,NA,b12U9TFESStdy7CsTtcOeg,NA,NA,NA,NA,NA,Flynn's E W Tire Service Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,PA,NA,NA,NA,NA,NA,NA,"718 Hope Hollow Rd
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,1.5,NA,business,NA,NA,NA,NA,NA,NA,-80.0844539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Active Life', u'Mini Golf']",40.4054039,NA,NA,NA,NA,NA,Sktj1eHQFuVa-M4bgnEh8g,NA,NA,NA,NA,NA,Forsythe Miniature Golf & Snacks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,PA,NA,NA,NA,NA,NA,NA,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,4,NA,business,NA,NA,NA,NA,NA,NA,-80.0762665,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Carnegie'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Home Services', u'Contractors']",40.406324,NA,NA,NA,NA,NA,3ZVKmuK2l7uXPE6lXY4Dbg,NA,NA,NA,NA,NA,Quaker State Construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,PA,NA,NA,NA,NA,NA,NA,"8 Logan St
Carnegie
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,NA,NA,-80.090357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Carnegie'],NA,NA,NA,NA,NA
NA,NA,NA,8:00,NA,NA,NA,NA,8:00,"[u'Burgers', u'Breakfast & Brunch', u'American (Traditional)', u'Restaurants']",40.3877323,FALSE,none,NA,NA,FALSE,wJr6kSA5dchdgOdwH6dZ2w,NA,NA,8:00,FALSE,NA,Kings Family Restaurant,8:00,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,8,NA,PA,TRUE,2:00,FALSE,NA,FALSE,TRUE,"2100 Washington Pike
Carnegie, PA 15106",2:00,NA,NA,FALSE,NA,NA,FALSE,8:00,NA,NA,FALSE,2:00,NA,TRUE,Carnegie,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,FALSE,1,NA,-80.0928745,2:00,NA,2:00,2:00,TRUE,FALSE,8:00,NA,NA,NA,NA,2:00,NA,NA,NA,NA,FALSE,NA,8:00,NA,NA,casual,NA,TRUE,[],NA,NA,NA,NA,NA
